;PC Software:StarLab Version 3.72 Build 3
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:26/05/2023 at 17:17:13
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Pyroelectric PE50BF-DFH-C (s/n:3058255)  VG2.54 (s/n:999999)

;Channel A:Details
;Name:PE50BF-DFH-C
;Graph Color:RGB(14,104,168)
;Units:J
;Settings:Measuring:Energy
;Settings:Wavelength:532
;Settings:Range:200mJ
;Settings:Diffuser:N/A
;Settings:Pulse Width:1.0ms
;Settings:Threshold:Min
;Functions:Average:3 sec

;Channel A:Statistics
;Min:78.60mJ             
;Max:80.64mJ             
;Average:79.83mJ             
;Std.Dev.:296.4uJ             
;Overrange:0                   
;Total Pulses:615                 
;--------------------


;First Pulse Arrived : 26/05/2023 at 17:17:14
  Timestamp   	  Channel A  	  F(A)       	
         0.000	  7.920e-02 	  7.920e-02 	
         0.034	  7.800e-02 	  7.860e-02 	
         0.066	  8.070e-02 	  7.930e-02 	
         0.100	  8.110e-02 	  7.975e-02 	
         0.134	  8.250e-02 	  8.030e-02 	
         0.166	  8.120e-02 	  8.045e-02 	
         0.200	  7.880e-02 	  8.021e-02 	
         0.234	  8.100e-02 	  8.031e-02 	
         0.266	  8.090e-02 	  8.038e-02 	
         0.300	  8.100e-02 	  8.044e-02 	
         0.334	  8.260e-02 	  8.064e-02 	
         0.367	  7.940e-02 	  8.053e-02 	
         0.400	  7.940e-02 	  8.045e-02 	
         0.434	  7.800e-02 	  8.027e-02 	
         0.466	  7.990e-02 	  8.025e-02 	
         0.500	  7.780e-02 	  8.009e-02 	
         0.535	  8.010e-02 	  8.009e-02 	
         0.566	  7.920e-02 	  8.004e-02 	
         0.600	  8.010e-02 	  8.005e-02 	
         0.634	  8.100e-02 	  8.009e-02 	
         0.666	  8.140e-02 	  8.016e-02 	
         0.700	  7.730e-02 	  8.003e-02 	
         0.734	  7.890e-02 	  7.998e-02 	
         0.766	  8.000e-02 	  7.998e-02 	
         0.800	  7.880e-02 	  7.993e-02 	
         0.834	  8.020e-02 	  7.994e-02 	
         0.866	  7.930e-02 	  7.992e-02 	
         0.900	  7.890e-02 	  7.988e-02 	
         0.934	  7.960e-02 	  7.987e-02 	
         0.966	  7.800e-02 	  7.981e-02 	
         1.000	  8.030e-02 	  7.983e-02 	
         1.034	  8.240e-02 	  7.991e-02 	
         1.066	  7.950e-02 	  7.989e-02 	
         1.100	  7.750e-02 	  7.982e-02 	
         1.134	  8.300e-02 	  7.991e-02 	
         1.166	  7.880e-02 	  7.988e-02 	
         1.201	  8.010e-02 	  7.989e-02 	
         1.234	  8.040e-02 	  7.990e-02 	
         1.266	  7.850e-02 	  7.987e-02 	
         1.300	  8.040e-02 	  7.988e-02 	
         1.334	  7.950e-02 	  7.987e-02 	
         1.368	  7.990e-02 	  7.987e-02 	
         1.401	  7.770e-02 	  7.982e-02 	
         1.435	  8.090e-02 	  7.985e-02 	
         1.467	  7.830e-02 	  7.981e-02 	
         1.501	  8.000e-02 	  7.982e-02 	
         1.535	  8.010e-02 	  7.982e-02 	
         1.567	  8.070e-02 	  7.984e-02 	
         1.601	  8.020e-02 	  7.985e-02 	
         1.635	  7.950e-02 	  7.984e-02 	
         1.667	  8.110e-02 	  7.986e-02 	
         1.701	  7.880e-02 	  7.984e-02 	
         1.735	  8.080e-02 	  7.986e-02 	
         1.767	  8.100e-02 	  7.988e-02 	
         1.801	  7.920e-02 	  7.987e-02 	
         1.835	  8.030e-02 	  7.988e-02 	
         1.867	  7.890e-02 	  7.986e-02 	
         1.901	  8.230e-02 	  7.990e-02 	
         1.935	  8.260e-02 	  7.995e-02 	
         1.967	  8.260e-02 	  7.999e-02 	
         2.001	  8.320e-02 	  8.005e-02 	
         2.036	  8.120e-02 	  8.006e-02 	
         2.067	  8.190e-02 	  8.009e-02 	
         2.101	  8.110e-02 	  8.011e-02 	
         2.135	  8.150e-02 	  8.013e-02 	
         2.167	  8.030e-02 	  8.013e-02 	
         2.201	  8.010e-02 	  8.013e-02 	
         2.235	  8.110e-02 	  8.015e-02 	
         2.267	  8.070e-02 	  8.016e-02 	
         2.301	  7.890e-02 	  8.014e-02 	
         2.335	  7.960e-02 	  8.013e-02 	
         2.367	  8.100e-02 	  8.014e-02 	
         2.401	  8.000e-02 	  8.014e-02 	
         2.435	  8.090e-02 	  8.015e-02 	
         2.467	  8.200e-02 	  8.017e-02 	
         2.501	  7.970e-02 	  8.017e-02 	
         2.536	  7.890e-02 	  8.015e-02 	
         2.567	  7.950e-02 	  8.014e-02 	
         2.601	  7.720e-02 	  8.011e-02 	
         2.635	  7.900e-02 	  8.009e-02 	
         2.667	  7.800e-02 	  8.007e-02 	
         2.701	  7.850e-02 	  8.005e-02 	
         2.735	  7.850e-02 	  8.003e-02 	
         2.767	  7.990e-02 	  8.003e-02 	
         2.801	  8.000e-02 	  8.003e-02 	
         2.835	  8.050e-02 	  8.003e-02 	
         2.867	  7.900e-02 	  8.002e-02 	
         2.901	  7.780e-02 	  8.000e-02 	
         2.935	  8.040e-02 	  8.000e-02 	
         2.967	  8.000e-02 	  8.000e-02 	
         3.001	  7.900e-02 	  8.000e-02 	
         3.035	  7.800e-02 	  8.000e-02 	
         3.067	  7.940e-02 	  7.998e-02 	
         3.101	  7.960e-02 	  7.997e-02 	
         3.135	  7.970e-02 	  7.994e-02 	
         3.167	  8.070e-02 	  7.993e-02 	
         3.201	  7.780e-02 	  7.992e-02 	
         3.235	  7.800e-02 	  7.989e-02 	
         3.267	  8.040e-02 	  7.988e-02 	
         3.301	  7.990e-02 	  7.987e-02 	
         3.335	  7.900e-02 	  7.983e-02 	
         3.367	  7.900e-02 	  7.982e-02 	
         3.401	  7.860e-02 	  7.981e-02 	
         3.435	  7.770e-02 	  7.981e-02 	
         3.467	  7.790e-02 	  7.979e-02 	
         3.501	  7.740e-02 	  7.978e-02 	
         3.535	  8.010e-02 	  7.979e-02 	
         3.567	  8.000e-02 	  7.979e-02 	
         3.601	  8.160e-02 	  7.981e-02 	
         3.635	  7.930e-02 	  7.979e-02 	
         3.667	  8.070e-02 	  7.978e-02 	
         3.701	  7.950e-02 	  7.981e-02 	
         3.735	  7.880e-02 	  7.981e-02 	
         3.767	  8.020e-02 	  7.981e-02 	
         3.801	  7.830e-02 	  7.980e-02 	
         3.835	  7.790e-02 	  7.978e-02 	
         3.867	  8.000e-02 	  7.979e-02 	
         3.901	  7.860e-02 	  7.978e-02 	
         3.935	  7.890e-02 	  7.977e-02 	
         3.967	  7.890e-02 	  7.978e-02 	
         4.001	  8.070e-02 	  7.979e-02 	
         4.036	  8.100e-02 	  7.977e-02 	
         4.067	  8.230e-02 	  7.980e-02 	
         4.101	  8.070e-02 	  7.984e-02 	
         4.135	  7.970e-02 	  7.980e-02 	
         4.167	  7.900e-02 	  7.981e-02 	
         4.201	  8.020e-02 	  7.981e-02 	
         4.235	  8.100e-02 	  7.981e-02 	
         4.267	  7.920e-02 	  7.982e-02 	
         4.301	  7.750e-02 	  7.979e-02 	
         4.335	  7.960e-02 	  7.979e-02 	
         4.368	  7.850e-02 	  7.978e-02 	
         4.401	  8.040e-02 	  7.978e-02 	
         4.435	  7.630e-02 	  7.977e-02 	
         4.467	  7.990e-02 	  7.975e-02 	
         4.501	  7.940e-02 	  7.977e-02 	
         4.535	  8.040e-02 	  7.977e-02 	
         4.567	  7.800e-02 	  7.975e-02 	
         4.601	  7.960e-02 	  7.974e-02 	
         4.635	  7.990e-02 	  7.973e-02 	
         4.667	  7.860e-02 	  7.972e-02 	
         4.701	  7.800e-02 	  7.969e-02 	
         4.735	  7.940e-02 	  7.970e-02 	
         4.767	  8.080e-02 	  7.970e-02 	
         4.801	  8.010e-02 	  7.969e-02 	
         4.835	  7.750e-02 	  7.967e-02 	
         4.867	  8.010e-02 	  7.966e-02 	
         4.901	  7.950e-02 	  7.967e-02 	
         4.935	  8.050e-02 	  7.965e-02 	
         4.968	  7.950e-02 	  7.958e-02 	
         5.001	  7.990e-02 	  7.959e-02 	
         5.035	  7.960e-02 	  7.955e-02 	
         5.067	  7.970e-02 	  7.953e-02 	
         5.101	  7.990e-02 	  7.951e-02 	
         5.135	  7.810e-02 	  7.948e-02 	
         5.167	  7.800e-02 	  7.944e-02 	
         5.201	  7.900e-02 	  7.942e-02 	
         5.235	  7.890e-02 	  7.941e-02 	
         5.267	  7.780e-02 	  7.937e-02 	
         5.301	  8.000e-02 	  7.937e-02 	
         5.335	  7.970e-02 	  7.938e-02 	
         5.367	  8.090e-02 	  7.939e-02 	
         5.401	  7.830e-02 	  7.936e-02 	
         5.435	  8.140e-02 	  7.938e-02 	
         5.467	  8.010e-02 	  7.937e-02 	
         5.501	  8.110e-02 	  7.936e-02 	
         5.535	  8.040e-02 	  7.936e-02 	
         5.567	  7.890e-02 	  7.936e-02 	
         5.601	  8.090e-02 	  7.938e-02 	
         5.635	  8.080e-02 	  7.942e-02 	
         5.667	  7.900e-02 	  7.942e-02 	
         5.701	  7.890e-02 	  7.943e-02 	
         5.735	  8.050e-02 	  7.945e-02 	
         5.767	  8.030e-02 	  7.947e-02 	
         5.801	  7.870e-02 	  7.946e-02 	
         5.835	  8.020e-02 	  7.946e-02 	
         5.867	  7.900e-02 	  7.944e-02 	
         5.901	  8.000e-02 	  7.945e-02 	
         5.935	  8.100e-02 	  7.949e-02 	
         5.967	  7.940e-02 	  7.948e-02 	
         6.001	  8.070e-02 	  7.949e-02 	
         6.035	  7.940e-02 	  7.949e-02 	
         6.067	  8.040e-02 	  7.952e-02 	
         6.101	  7.950e-02 	  7.952e-02 	
         6.135	  7.920e-02 	  7.951e-02 	
         6.167	  8.080e-02 	  7.953e-02 	
         6.201	  7.970e-02 	  7.952e-02 	
         6.235	  8.070e-02 	  7.955e-02 	
         6.267	  7.930e-02 	  7.956e-02 	
         6.301	  8.050e-02 	  7.956e-02 	
         6.335	  8.100e-02 	  7.957e-02 	
         6.367	  8.050e-02 	  7.959e-02 	
         6.401	  8.150e-02 	  7.962e-02 	
         6.435	  7.950e-02 	  7.963e-02 	
         6.467	  8.010e-02 	  7.965e-02 	
         6.501	  8.040e-02 	  7.968e-02 	
         6.539	  7.960e-02 	  7.970e-02 	
         6.567	  8.020e-02 	  7.971e-02 	
         6.601	  7.940e-02 	  7.970e-02 	
         6.635	  7.740e-02 	  7.965e-02 	
         6.667	  7.920e-02 	  7.965e-02 	
         6.701	  8.070e-02 	  7.965e-02 	
         6.735	  7.950e-02 	  7.965e-02 	
         6.767	  7.920e-02 	  7.966e-02 	
         6.801	  8.010e-02 	  7.966e-02 	
         6.835	  8.120e-02 	  7.969e-02 	
         6.867	  8.170e-02 	  7.973e-02 	
         6.901	  8.110e-02 	  7.974e-02 	
         6.935	  8.120e-02 	  7.977e-02 	
         6.967	  8.110e-02 	  7.980e-02 	
         7.001	  8.290e-02 	  7.984e-02 	
         7.035	  8.150e-02 	  7.985e-02 	
         7.067	  7.850e-02 	  7.982e-02 	
         7.103	  8.100e-02 	  7.980e-02 	
         7.135	  8.040e-02 	  7.980e-02 	
         7.167	  7.950e-02 	  7.980e-02 	
         7.201	  7.860e-02 	  7.980e-02 	
         7.235	  8.220e-02 	  7.982e-02 	
